測点,工種,測定項目,実測値
No.1,整地工田番均平度,GE-001,
No.2,整地工田番均平度,GE-001,
No.3,整地工田番均平度,GE-001,
No.4,整地工田番均平度,GE-001,
No.5,整地工田番均平度,GE-001,
No.6,整地工田番均平度,GE-001,
No.7,整地工田番均平度,GE-001,
No.8,整地工田番均平度,GE-001,
No.9,整地工田番均平度,GE-001,
No.10,整地工田番均平度,GE-001,1.403
No.11,整地工田番均平度,GE-001,1.403
No.12,整地工田番均平度,GE-001,1.416
No.13,整地工田番均平度,GE-001,
No.14,整地工田番均平度,GE-001,
No.15,整地工田番均平度,GE-001,
No.16,整地工田番均平度,GE-001,
No.17,整地工田番均平度,GE-001,
No.18,整地工田番均平度,GE-001,
No.19,整地工田番均平度,GE-001,
No.20,整地工田番均平度,GE-001,
No.21,整地工田番均平度,GE-001,
No.22,整地工田番均平度,GE-001,1.411
No.23,整地工田番均平度,GE-001,1.406
No.24,整地工田番均平度,GE-001,1.400
No.1,整地工田番均平度,GE-047,
No.2,整地工田番均平度,GE-047,
No.3,整地工田番均平度,GE-047,
No.4,整地工田番均平度,GE-047,
No.5,整地工田番均平度,GE-047,
No.6,整地工田番均平度,GE-047,
No.7,整地工田番均平度,GE-047,
No.8,整地工田番均平度,GE-047,1.422
No.9,整地工田番均平度,GE-047,1.440
No.10,整地工田番均平度,GE-047,1.419
No.11,整地工田番均平度,GE-047,1.427
No.12,整地工田番均平度,GE-047,1.436
