測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番12,均平度,1460,1468
No.2,整地工田番12,均平度,1460,1453
No.3,整地工田番12,均平度,1460,1461
No.4,整地工田番12,均平度,1460,1470
No.5,整地工田番12,均平度,1460,1463
No.6,整地工田番12,均平度,1460,1456
No.7,整地工田番12,均平度,1460,1459
No.8,整地工田番12,均平度,1460,1455
No.9,整地工田番12,均平度,1460,1469
No.10,整地工田番12,均平度,1460,1454
No.11,整地工田番12,均平度,1460,1457
No.12,整地工田番12,均平度,1460,1451
No.13,整地工田番12,均平度,1460,1463
No.14,整地工田番12,均平度,1460,1469
No.15,整地工田番12,均平度,1460,1452
No.16,整地工田番12,均平度,1460,1462
No.17,整地工田番12,均平度,1460,1455
No.18,整地工田番12,均平度,1460,1454
No.19,整地工田番12,均平度,1460,1459
No.20,整地工田番12,均平度,1460,1457
No.21,整地工田番12,均平度,1460,1462
No.22,整地工田番12,均平度,1460,1466
No.23,整地工田番12,均平度,1460,1465
