田番,工種,測定項目,面積,測定基準,規格値,社内目標値,設計値,Xmax,Xmin
11,整地工,均平度,8090㎡,10a当たり3点以上,±50mm,±40mm,1420,1.426,1.413
9,整地工,均平度,3270㎡,10a当たり3点以上,±50mm,±40mm,1452,1.446,1.465
10,整地工,均平度,3310㎡,10a当たり3点以上,±50mm,±40mm,1467,1.464,1.474
8,整地工,均平度,3030㎡,10a当たり3点以上,±50mm,±40mm,1399,1.409,1.391
7,整地工,均平度,3200㎡,10a当たり3点以上,±50mm,±40mm,1414,1.400,1.421
6,整地工,均平度,3220㎡,10a当たり3点以上,±50mm,±40mm,1452,1.460,1.444
5,整地工,均平度,3210㎡,10a当たり3点以上,±50mm,±40mm,1375,1.386,1.366
3,整地工,均平度,4180㎡,10a当たり3点以上,±50mm,±40mm,1461,1.458,1.476
2,整地工,均平度,1340㎡,10a当たり3点以上,±50mm,±40mm,1401,1.409,1.394
1,整地工,均平度,3540㎡,10a当たり3点以上,±50mm,±40mm,1428,1.417,1.434
