測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番11,均平度,1420,1424
No.2,整地工田番11,均平度,1420,1421
No.3,整地工田番11,均平度,1420,1426
No.4,整地工田番11,均平度,1420,1417
No.5,整地工田番11,均平度,1420,1425
No.6,整地工田番11,均平度,1420,1422
No.7,整地工田番11,均平度,1420,1413
No.8,整地工田番11,均平度,1420,1424
No.9,整地工田番11,均平度,1420,1421
No.10,整地工田番11,均平度,1420,1425
No.11,整地工田番11,均平度,1420,1423
No.12,整地工田番11,均平度,1420,1414
No.13,整地工田番11,均平度,1420,1419
No.14,整地工田番11,均平度,1420,1421
No.15,整地工田番11,均平度,1420,1414
No.16,整地工田番11,均平度,1420,1424
No.17,整地工田番11,均平度,1420,1421
No.18,整地工田番11,均平度,1420,1415
No.19,整地工田番11,均平度,1420,1426
No.20,整地工田番11,均平度,1420,1419
No.21,整地工田番11,均平度,1420,1424
No.22,整地工田番11,均平度,1420,1421
No.23,整地工田番11,均平度,1420,1416
No.24,整地工田番11,均平度,1420,1425
No.25,整地工田番11,均平度,1420,1416
No.26,整地工田番11,均平度,1420,1416
