写真区分,工種,種別,細別,写真タイトル
着手前及び完成写真,,,,着手前
着手前及び完成写真,完成,,,完成
施工状況写真,準備工,,,支障木伐採
施工状況写真,仮設工,土留・仮締切工,,1t土のう制作状況
施工状況写真,仮設工,土留・仮締切工,,1t土のう設置
施工状況写真,仮設工,,,川床面掘削
施工状況写真,仮設工,,,A2側整地
施工状況写真,仮設工,,,足場組立状況
施工状況写真,仮設工,,,足場組立完了
施工状況写真,仮設工,,,A2側足場解体
施工状況写真,仮設工,,,A2側土のう撤去
施工状況写真,仮設工,,,A1側切換え
施工状況写真,仮設工,,,A1側整地
施工状況写真,仮設工,,,A1側足場組立状況
施工状況写真,仮設工,,,A1側足場組立完了
施工状況写真,仮設工,,,A1側足場解体
施工状況写真,仮設工,,,A1側足場設置
施工状況写真,仮設工,,,河川復旧
施工状況写真,ひびわれ補修工,ひび割れ充填工,A1橋台,施工前
着手前及び完成写真,ひびわれ補修工,ひび割れ充填工,A1橋台,施工前
施工状況写真,ひびわれ補修工,ひびわれ充填工,,Uカット施工状況
施工状況写真,ひびわれ補修工,ひびわれ充填工,,Uカット完了
施工状況写真,ひびわれ補修工,ひびわれ充填工,,Uカット清掃状況
施工状況写真,ひびわれ補修工,ひびわれ充填工,,プライマー塗布
施工状況写真,ひびわれ補修工,ひびわれ充填工,,ポリマーセメントモルタル充填
施工状況写真,ひびわれ補修工,ひびわれ充填工,A1橋台,充填工完了
施工状況写真,ひびわれ補修工,ひび割れ充填工,A1橋台,充填工完了
施工状況写真,ひびわれ補修工,ひびわれ注入工,A1橋台,施工前
着手前及び完成写真,ひびわれ補修工,ひびわれ注入工,A1橋台,施工前
施工状況写真,着手前,ひびわれ注入工,A1橋台,施工前
施工状況写真,ひびわれ補修工,ひびわれ注入工,,下地処理
施工状況写真,ひびわれ補修工,ひびわれ注入工,,シール処理
施工状況写真,ひびわれ補修工,ひびわれ注入工,,座金取付
施工状況写真,ひびわれ補修工,ひびわれ注入工,,下地処理完了
施工状況写真,ひびわれ補修工,ひびわれ注入工,,注入材充填
施工状況写真,ひびわれ補修工,ひびわれ注入工,,注入器具取付
施工状況写真,ひびわれ補修工,ひびわれ注入工,A1橋台,注入完了
施工状況写真,ひびわれ補修工,ひびわれ注入工,,座金撤去
施工状況写真,ひびわれ補修工,ひびわれ注入工,,仕上げ処理
施工状況写真,ひびわれ補修工,ひびわれ注入工,A1橋台,完了
