写真区分,工種,種別,細別,写真タイトル
施工状況写真,整地工,整地仕上げ,均平度,整地工 均平度測定状況
施工状況写真,整地工,整地仕上げ,均平度,整地仕上げ
施工状況写真,整地工,整地仕上げ,,整地仕上げ作業状況
品質管理写真,整地工,整地仕上げ,均平度,均平度
出来形管理写真,整地工,整地仕上げ,均平度,均平度
,,,湧水箇所,湧水箇所
区画整理付帯工,置換工,,施工箇所寸法測定,施工箇所寸法測定
区画整理付帯工,置換工,,表土剥ぎ取,表土剥ぎ取
区画整理付帯工,置換工,,基盤掘削,基盤掘削
区画整理付帯工,置換工,,置換工,置換工
区画整理付帯工,置換工,,基盤土剥ぎ取り,基盤土剥ぎ取り
区画整理付帯工,置換工,,山砂置換,山砂置換
区画整理付帯工,置換工,,置換後寸法測定,置換後寸法測定
区画整理付帯工,置換工,,置換厚さ,置換厚さ
区画整理付帯工,置換工,,基盤土?ぎ取り,基盤土?ぎ取り
区画整理付帯工,置換工,,置換完了,置換完了

施工状況写真,土工,掘削,床掘・底付け状況,小用水路 掘削床掘状況
施工状況写真,路盤工,路盤整地,転圧,小用水路施工における路盤整地と転圧作業状況
施工状況写真,水路工,均し工,石灰工、敷均・転圧状況,八用水路10-1の施工状況写真
施工状況写真,整地工,整地仕上げ,基盤整地,基盤整地施工状況写真
安全管理写真,ほ場整備工事,,熱中症対策,熱中症対策の現場写真

施工状況写真,水路工,掘削,床掘・底付け状況,小用水路 掘削床掘状況

施工状況写真,水路工,均し工,敷均・転圧状況,小用水路 敷均・転圧状況


施工状況写真,水路工,据付工,据付状況,小用水路 据付状況
